Reported Date,Monitor ID,Monitor UUID,Monitor Name,Monitor Tags,Media ID,Media Name,Playback Date,Media Duration,Media Tags
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826009,cliente10_v16,2025-08-01 00:44:00.262424+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826043,cliente11_v16,2025-08-01 00:44:06.467020+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826070,cliente12_v16,2025-08-01 00:44:13.814100+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826177,cliente13_v16,2025-08-01 00:44:19.395661+00:00,4920,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826219,cliente14_v16,2025-08-01 00:44:26.111184+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826248,cliente15_v16,2025-08-01 00:44:32.768869+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826304,cliente16_v16,2025-08-01 00:44:38.452308+00:00,5000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826346,cliente17_v16,2025-08-01 00:44:45.057705+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826381,cliente18_v16,2025-08-01 00:44:51.638303+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826429,cliente19_v16,2025-08-01 00:44:57.273103+00:00,4920,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826453,cliente20_v16,2025-08-01 00:45:04.017153+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826545,cliente21_v16,2025-08-01 00:45:09.836558+00:00,5160,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826585,cliente22_v16,2025-08-01 00:45:16.464560+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826639,cliente23_v16,2025-08-01 00:45:22.179596+00:00,5040,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826672,cliente24_v16,2025-08-01 00:45:28.896666+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826725,cliente25_v16,2025-08-01 00:45:34.927111+00:00,5400,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826756,cliente26_v16,2025-08-01 00:45:40.837983+00:00,5280,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826802,cliente27_v16,2025-08-01 00:45:47.462503+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826825,cliente28_v16,2025-08-01 00:45:53.997993+00:00,5840,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826913,cliente29_v16,2025-08-01 00:46:00.645443+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826943,cliente30_v16,2025-08-01 00:46:07.371864+00:00,6070,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825347,cliente1_v17,2025-08-01 00:46:13.921346+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825400,cliente2_v17,2025-08-01 00:46:20.126496+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825734,cliente3_v17,2025-08-01 00:46:26.331384+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825767,cliente4_v17,2025-08-01 00:46:32.536774+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825812,cliente5_v17,2025-08-01 00:46:38.744560+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825861,cliente6_v17,2025-08-01 00:46:44.950365+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825905,cliente7_v17,2025-08-01 00:46:51.154462+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825946,cliente8_v17,2025-08-01 00:46:57.359280+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24825970,cliente9_v17,2025-08-01 00:47:03.562706+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826008,cliente10_v17,2025-08-01 00:47:09.768094+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826042,cliente11_v17,2025-08-01 00:47:15.974029+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826067,cliente12_v17,2025-08-01 00:47:23.332813+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826178,cliente13_v17,2025-08-01 00:47:28.914068+00:00,4920,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826220,cliente14_v17,2025-08-01 00:47:35.598997+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826246,cliente15_v17,2025-08-01 00:47:42.278757+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826303,cliente16_v17,2025-08-01 00:47:47.924666+00:00,5000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826345,cliente17_v17,2025-08-01 00:47:54.502798+00:00,6000,[]
2025-08-01 23:36:16.442211+00:00,551239,7ad7f781-873d-411b-9921-b82cfa0964fa,PantallaYodeck,[],24826380,cliente18_v17,2025-08-01 00:48:01.182299+00:00,6000,[]
